Compound,Date,Negative,Neutral,Positive,Tweet Text,Tweets Ago,User
0.0,Tue Oct 02 09:10:44 +0000 2018,0.0,1.0,0.0,RT @bbccomedy: ‘There She Goes’ starring @JefficaHoons and David Tennant comes to @BBCFOUR on October 16th. https://t.co/tH37Wg5TBC,74,@BBC
-0.7964,Tue Oct 02 08:00:09 +0000 2018,0.321,0.679,0.0,"In January 1918, the Spanish flu swept the world and killed more people than WW1. 
#TheFluThatKilled50Million https://t.co/WinYKnWfSA",75,@BBC
0.0,Tue Oct 02 07:05:06 +0000 2018,0.0,1.0,0.0,"👛 Do you know where your tips go? 

A guide to how tipping works in restaurants.
👉 https://t.co/CNU4t3iogG https://t.co/7dcsckQwcG",76,@BBC
-0.6486,Tue Oct 02 06:09:05 +0000 2018,0.202,0.798,0.0,"More than half of the world's killer whales could be wiped out by man-made chemicals, scientists say.  https://t.co/w1SaxVchyO",77,@BBC
-0.128,Mon Oct 01 19:00:01 +0000 2018,0.081,0.919,0.0,Wildlife biologist @LizBonnin visits scientists working at the cutting edge of plastics research. She works with le… https://t.co/rSc4ZR9MEX,78,@BBC
0.0,Mon Oct 01 17:16:04 +0000 2018,0.0,1.0,0.0,"A 19-year-old university student has described his photograph of a white fallow buck sneezing as a ""one-in-a-millio… https://t.co/A1q3ZEIz2z",79,@BBC
0.7506,Mon Oct 01 16:05:44 +0000 2018,0.0,0.738,0.262,"RT @BBCFood: 🥕 It's World Vegetarian Day and we're celebrating all things veggie. Whether you're looking for a quick lunch, a healthy trayb…",80,@BBC
0.0,Mon Oct 01 15:48:02 +0000 2018,0.0,1.0,0.0,"RT @CBeebiesHQ: Cuddle up cheek to cheek!

Sharon D. Clarke is back for tonight's #BedtimeStory 😴📚

The biographical tale of Ella Fitzgeral…",81,@BBC
0.0,Mon Oct 01 15:00:02 +0000 2018,0.0,1.0,0.0,These scientists have found plastic in every area of the Arctic; there are about 225 trillion particles in the whol… https://t.co/UoKtCXow1b,82,@BBC
0.0,Mon Oct 01 14:01:07 +0000 2018,0.0,1.0,0.0,"An Astrophysicist? A World Traveller? CEO of the British Library? 🔭📚🤷

Illustrator Sir Quentin Blake has reimagined… https://t.co/PqXhCcoHH9",83,@BBC
0.0,Mon Oct 01 13:04:26 +0000 2018,0.0,1.0,0.0,"RT @bbcgetinspired: 'I'm a Muslim woman, I'm visually-impaired and I'm a boxer' 🥊🥊 #GetInspired 

https://t.co/zJorjZokVM",84,@BBC
0.7456,Mon Oct 01 13:03:06 +0000 2018,0.0,0.689,0.311,"🎶🌟@LadyGaga and Jodie Whittaker playing the #DoctorWho theme tune on the theremin is AMAZING. #TheGNShow

https://t.co/PEwaE9tzNH",85,@BBC
0.128,Mon Oct 01 12:33:03 +0000 2018,0.166,0.642,0.193,"😂😃😐 Can you spot a fake laugh? 

Take this quiz to find out. 👉 https://t.co/LAFjV5ggf7 https://t.co/sFjlLRwzQK",86,@BBC
-0.5574,Mon Oct 01 12:08:21 +0000 2018,0.205,0.795,0.0,"Geoffrey Hayes, who hosted long-running children's TV show, Rainbow, has died aged 76.
👉 https://t.co/10XDMpYCiz https://t.co/vPs5odJKqy",87,@BBC
0.7003,Mon Oct 01 11:03:02 +0000 2018,0.0,0.655,0.345,"This Amazing Human uses coffee to give homeless people a second chance. ☕️💛#InternationalCoffeeDay

https://t.co/wOc1ce2B3J",88,@BBC
0.3818,Mon Oct 01 10:03:06 +0000 2018,0.134,0.591,0.274,"Turns out it's *quite* difficult to keep a straight face while testing laughing gas...

https://t.co/nFlgKY7NuY",89,@BBC
-0.7351,Mon Oct 01 09:46:54 +0000 2018,0.237,0.763,0.0,RT @BBCRadio4: We conducted the world's largest survey on loneliness and discovered that 16-24 year olds are the loneliest age group. Read…,90,@BBC
0.0,Mon Oct 01 09:04:02 +0000 2018,0.0,1.0,0.0,"We cannot WAIT for the new Doctor Who series! @bbcdoctorwho #TheGNShow

https://t.co/BkxpymO5Be",91,@BBC
0.7845,Mon Oct 01 08:02:02 +0000 2018,0.0,0.734,0.266,"Start your Monday the right way. Watch Tom Hardy explain to a child why we should love all things equally. 💔😭

https://t.co/646n5wwjvL",92,@BBC
-0.7845,Mon Oct 01 07:32:01 +0000 2018,0.434,0.566,0.0,Persistent chemical pollution threatens the future of killer whales. 💔 https://t.co/wJJIQj8WLK https://t.co/saSP4leLjt,93,@BBC
-0.872,Mon Oct 01 07:03:05 +0000 2018,0.398,0.602,0.0,"Last year @higeorgeshelley's sister died in an accident. 

He opens up about grief and how to cope.

https://t.co/4SajjiJI6e",94,@BBC
0.4753,Sun Sep 30 20:21:03 +0000 2018,0.0,0.843,0.157,"RT @BBCOne: “I see women out with their babies walking around like it’s nothing… I just want to yell out at them, “You’re amazing!” @Jenna_…",95,@BBC
0.6239,Sun Sep 30 19:39:53 +0000 2018,0.0,0.687,0.313,RT @bbcstrictly: Wow. #Strictly Movie Week looks wand-erful! 🧙‍♂️✨ https://t.co/3Iko29h06s,96,@BBC
0.0,Sun Sep 30 19:03:02 +0000 2018,0.0,1.0,0.0,"A mother’s life disintegrates while the world looks on. 

#TheCry | 9pm | @BBCOne | https://t.co/hDRdVsMamq https://t.co/2SrLnoKGLi",97,@BBC
0.0,Sun Sep 30 17:16:03 +0000 2018,0.0,1.0,0.0,Tonight it's the first @BBCStrictly results show! Find out which couples have made it through and which two will be… https://t.co/vytPpS8tTl,98,@BBC
0.5106,Sun Sep 30 16:22:42 +0000 2018,0.063,0.769,0.167,"RT @BBCOne: #TheCry ""is the perfect replacement for #Bodyguard, a twisting, turning whodunit that leaves you questioning everybody."" The Te…",99,@BBC
0.4574,Sun Sep 30 16:22:25 +0000 2018,0.0,0.875,0.125,"RT @BBCOne: To mark 30 years in music, we’re making a @takethat documentary special and WE NEED YOU! 

Head to https://t.co/WiKSYB8coP to s…",100,@BBC
0.0,Sat Oct 06 18:00:00 +0000 2018,0.0,1.0,0.0,We only use about 1 percent of available crops to fuel our diets. So leading chefs are looking to underused foods i… https://t.co/dLfAZRGrXC,1,@CBSNews
-0.34,Sat Oct 06 17:39:43 +0000 2018,0.112,0.888,0.0,"House GOP candidate in New Mexico says in new ad that Democrats are trying to ""shoot down our values""… https://t.co/wQ0WCpYkvY",2,@CBSNews
-0.296,Sat Oct 06 17:20:00 +0000 2018,0.104,0.896,0.0,"Interpol asks China for information on its missing president, who hasn't been heard from since the end of September… https://t.co/fRytkr5Xro",3,@CBSNews
0.6249,Sat Oct 06 17:00:32 +0000 2018,0.0,0.823,0.177,"Speaking near the Great Sphinx in Egypt, first lady Melania Trump said Brett Kavanaugh is ""highly qualified"" for th… https://t.co/sgJ5G7KM1M",4,@CBSNews
-0.296,Sat Oct 06 16:47:17 +0000 2018,0.109,0.891,0.0,"RT @CBSSunday: Will e-cigs make the traditional cigarette obsolete? Vaping is catching on among smokers switching from cigarettes

@TonyDok…",5,@CBSNews
0.5267,Sat Oct 06 16:39:48 +0000 2018,0.0,0.746,0.254,Mega Millions winning numbers announced for $420 million jackpot https://t.co/jc23ydtVNf https://t.co/sNOYmELJxm,6,@CBSNews
-0.926,Sat Oct 06 16:19:44 +0000 2018,0.509,0.491,0.0,One condemned inmate killed another with a self-made weapon in California's first death row slaying since 1997… https://t.co/L5FuGp52Kw,7,@CBSNews
0.4215,Sat Oct 06 15:59:39 +0000 2018,0.0,0.823,0.177,"Tokyo's iconic Tsukiji fish market, a popular tourist spot, closes after 83 years https://t.co/eEYX5gpIP8 https://t.co/cQaDwwNRBT",8,@CBSNews
0.0,Sat Oct 06 15:39:52 +0000 2018,0.0,1.0,0.0,"""It appears we just got Banksy-ed"": Banksy artwork self-destructs through a shredder moments after $1.4 million sal… https://t.co/qc13GC7edh",9,@CBSNews
0.5574,Sat Oct 06 15:19:59 +0000 2018,0.0,0.847,0.153,"Elena Kagan and Sonia Sotomayor, two of the three sitting female Supreme Court justices, say the court must guard i… https://t.co/xapJnHbOHr",10,@CBSNews
-0.4019,Sat Oct 06 15:00:01 +0000 2018,0.198,0.695,0.107,"""The Hate U Give"" screenwriter Audrey Wells dies one day before film is released https://t.co/Vudlsu4IJF https://t.co/Id8CAPZaaq",11,@CBSNews
-0.296,Sat Oct 06 14:39:42 +0000 2018,0.109,0.891,0.0,"Secretary of State Mike Pompeo will return to North Korea a fourth time, under pressure to produce tangible progres… https://t.co/42ctKEkuy1",12,@CBSNews
-0.6486,Sat Oct 06 14:19:51 +0000 2018,0.323,0.677,0.0,Spanish opera singer Montserrat Caballe dead at 85 https://t.co/P8EiidV9WR https://t.co/KIRSMF4uxt,13,@CBSNews
0.0,Sat Oct 06 14:00:02 +0000 2018,0.0,1.0,0.0,VIDEO: Deputy pushes stranded woman's wheelchair one mile to her home https://t.co/vX47aeR0Ke https://t.co/Rs4KOtzCP4,14,@CBSNews
0.2732,Sat Oct 06 13:19:34 +0000 2018,0.0,0.829,0.171,"Lady Gaga gives emotional defense of Christine Blasey Ford on ""The Late Show with Stephen Colbert""… https://t.co/xE1eD7yMwr",15,@CBSNews
-0.1406,Sat Oct 06 13:03:03 +0000 2018,0.134,0.866,0.0,Car and deer collisions are now fewer but costlier https://t.co/0LZDzhckfm https://t.co/cLB1WvPwnH,16,@CBSNews
-0.3182,Sat Oct 06 12:48:03 +0000 2018,0.204,0.796,0.0,Trump's Scotland golf course lost millions last year https://t.co/g6eLwK7ldo https://t.co/O0GUxQko7S,17,@CBSNews
0.1531,Sat Oct 06 12:33:04 +0000 2018,0.142,0.672,0.187,"LaCroix ingredients: Lawsuit alleges ""all natural"" claim is false https://t.co/Mimi25vccD https://t.co/Mhq39zusXM",18,@CBSNews
-0.9274,Sat Oct 06 12:30:18 +0000 2018,0.531,0.469,0.0,One condemned inmate kills another in rare death row slaying at San Quentin prison https://t.co/s28QVqEJfj https://t.co/7CZRxTLTZS,19,@CBSNews
-0.6369,Sat Oct 06 12:18:03 +0000 2018,0.244,0.756,0.0,Teen immigrant who cradled fatally wounded Robert F. Kennedy dies in California https://t.co/QaGOGIewqN https://t.co/Tafukucca6,20,@CBSNews
-0.5267,Sat Oct 06 12:03:03 +0000 2018,0.188,0.812,0.0,"Lisa Murkowski, sole GOP senator opposed to Kavanaugh, says she will be ""no today and a no tomorrow"" -- live update… https://t.co/fVTPHrDaui",21,@CBSNews
0.0,Sat Oct 06 11:54:05 +0000 2018,0.0,1.0,0.0,"Pompeo, on eve of fourth North Korea visit, seeks allied unity on denuke effort https://t.co/iLePZJRPAY https://t.co/RX64JC7Pi8",22,@CBSNews
0.6369,Sat Oct 06 11:48:03 +0000 2018,0.0,0.756,0.244,Preview: Why Journey frontman Steve Perry fell out of love with music https://t.co/jLn6gd9LRy https://t.co/3O5YEGu4dM,23,@CBSNews
0.0,Sat Oct 06 11:33:03 +0000 2018,0.0,1.0,0.0,"NASA revises launch targets for Boeing, SpaceX crew ships https://t.co/KJrDLkDNUR https://t.co/nEOFFDbbkS",24,@CBSNews
-0.5574,Sat Oct 06 11:26:04 +0000 2018,0.265,0.735,0.0,Spanish opera singer Montserrat Caballe has died at 85 https://t.co/Cj5oMb7cwW https://t.co/jR1TgyvkAO,25,@CBSNews
0.7351,Sat Oct 06 11:18:03 +0000 2018,0.0,0.693,0.307,Waitress pitches in to help with fussy toddler so mother can eat in peace https://t.co/AyMuA3dyOU https://t.co/ZDegpdW4zs,26,@CBSNews
-0.6124,Sat Oct 06 11:03:03 +0000 2018,0.305,0.584,0.11,Cristiano Ronaldo rape claim: Growing heat from corporate sponsors https://t.co/Q9Tc3TlSrA https://t.co/IKuc0BwrSu,27,@CBSNews
0.5574,Sat Oct 06 10:48:03 +0000 2018,0.0,0.825,0.175,A look at what the FBI inquiry into Brett Kavanaugh has turned up on the Supreme Court nominee… https://t.co/CmvpSHdPgg,28,@CBSNews
0.0,Sat Oct 06 10:33:03 +0000 2018,0.0,1.0,0.0,"""Moment of truth"": Ted Cruz and Beto O'Rourke face off in tight Texas race https://t.co/uzf9qhVqqX https://t.co/eS2mZAqnBa",29,@CBSNews
-0.6908,Sat Oct 06 10:18:04 +0000 2018,0.322,0.678,0.0,"""Sheer luck"": Suspect in deadly Tennessee crime spree in custody after manhunt https://t.co/deWlGuSZAN https://t.co/C3dYkQwSHs",30,@CBSNews
-0.5423,Sat Oct 06 10:03:04 +0000 2018,0.29,0.71,0.0,Toyota hybrid recall: Prius included in car recall for stalling problems https://t.co/kWoECUHHyo https://t.co/AJYbkHDjeG,31,@CBSNews
